opsize;nesting;pass;time;memory
10;0.0;bool-nest-clone;0.2880265712738037;92.27734375
10;0.0;bool-nest-composable;0.28792572021484375;92.21484375
10;0.05;bool-nest-clone;0.2831141948699951;92.2421875
10;0.05;bool-nest-composable;0.28786730766296387;92.1640625
10;0.1;bool-nest-clone;0.2833864688873291;92.25390625
10;0.1;bool-nest-composable;0.2865908145904541;92.203125
10;0.2;bool-nest-clone;0.2842423915863037;92.25
10;0.2;bool-nest-composable;0.2837865352630615;92.22265625
10;0.3;bool-nest-clone;0.28346800804138184;92.10546875
10;0.3;bool-nest-composable;0.2846970558166504;92.37109375
10;0.4;bool-nest-clone;0.285541296005249;92.22265625
10;0.4;bool-nest-composable;0.2899196147918701;92.21875
10;0.5;bool-nest-clone;0.28783535957336426;92.25390625
10;0.5;bool-nest-composable;0.28862762451171875;92.09375
10;0.6;bool-nest-clone;0.2860586643218994;92.2578125
10;0.6;bool-nest-composable;0.2868480682373047;92.2421875
10;0.7;bool-nest-clone;0.2857222557067871;92.2734375
10;0.7;bool-nest-composable;0.2851567268371582;92.28515625
10;0.8;bool-nest-clone;0.28674912452697754;92.23046875
10;0.8;bool-nest-composable;0.28545546531677246;92.22265625
10;0.9;bool-nest-clone;0.28694772720336914;92.17578125
10;0.9;bool-nest-composable;0.28671789169311523;92.2890625
10;0.95;bool-nest-clone;0.2837941646575928;92.29296875
10;0.95;bool-nest-composable;0.28672146797180176;92.265625
10;1;bool-nest-clone;0.2778468132019043;92.2578125
10;1;bool-nest-composable;0.27917909622192383;92.25390625
30;0.0;bool-nest-clone;0.3291895389556885;93.4140625
30;0.0;bool-nest-composable;0.3266007900238037;92.80078125
30;0.05;bool-nest-clone;0.3265547752380371;93.3359375
30;0.05;bool-nest-composable;0.3282959461212158;92.79296875
30;0.1;bool-nest-clone;0.3258631229400635;93.32421875
30;0.1;bool-nest-composable;0.32620668411254883;92.796875
30;0.2;bool-nest-clone;0.3257782459259033;93.42578125
30;0.2;bool-nest-composable;0.327822208404541;92.78515625
30;0.3;bool-nest-clone;0.3314499855041504;93.28515625
30;0.3;bool-nest-composable;0.33059120178222656;92.796875
30;0.4;bool-nest-clone;0.29583311080932617;92.51953125
30;0.4;bool-nest-composable;0.29903101921081543;92.30078125
30;0.5;bool-nest-clone;0.30298471450805664;92.50390625
30;0.5;bool-nest-composable;0.3032972812652588;92.28515625
30;0.6;bool-nest-clone;0.34256434440612793;92.3828125
30;0.6;bool-nest-composable;0.3969454765319824;116.125
30;0.7;bool-nest-clone;0.3769114017486572;116.125
30;0.7;bool-nest-composable;0.23642492294311523;116.125
30;0.8;bool-nest-clone;0.3494887351989746;92.578125
30;0.8;bool-nest-composable;0.4201328754425049;116.13671875
30;0.9;bool-nest-clone;0.35034966468811035;116.13671875
30;0.9;bool-nest-composable;0.347043514251709;92.24609375
30;0.95;bool-nest-clone;0.43347692489624023;92.5234375
